"Befolkningens udvikling efter bevægelsesart, køn, område og tid"

" "," "," ","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Befolkningen ultimo indeværende år"
" ","Mænd"
" "," ","Nordfyns",14784,14898,15016,14990,14955,14892,14840,14708,14765,14860,14930,15002,15066,15005,14935,15032
" "," ","Nyborg",15626,15648,15755,15733,15581,15577,15554,15469,15585,15781,15879,15834,15870,15804,15772,15870
" "," ","Odense",91384,91462,92018,92499,93271,94057,94985,96406,97263,98019,98933,99943,101039,101477,101648,101887
" "," ","Svendborg",29077,29242,29405,29311,29088,29040,28924,28758,28825,28983,29130,29257,29214,28977,29097,29451
" "," ","Ærø",3374,3354,3355,3351,3358,3337,3267,3197,3141,3174,3110,3094,3021,2990,3003,3020
" "," ","Billund",13151,13187,13208,13160,13136,13179,13260,13251,13251,13384,13358,13340,13442,13399,13375,13485
" "," ","Esbjerg",56897,57047,57268,57562,57527,57485,57491,57602,57803,58019,58113,58187,57924,57891,57975,57912
" "," ","Fanø",1557,1572,1587,1577,1585,1592,1591,1602,1598,1614,1631,1662,1649,1691,1680,1666
" "," ","Fredericia",24597,24690,24844,24924,25042,25090,25132,25188,25304,25518,25567,25734,25765,25767,25712,25830
" "," ","Haderslev",28065,28116,28129,28074,27990,27971,27921,27854,27926,28009,28001,27933,27975,27908,27835,27879
" "," ","Kolding",43419,43766,44095,44320,44380,44524,44538,44803,45222,45660,45938,46129,46279,46529,46549,46779
" "," ","Sønderborg",38388,38404,38266,38033,37978,37920,37697,37451,37352,37255,37324,37224,37200,37099,36924,36894
" "," ","Tønder",20116,20127,20092,19867,19785,19578,19361,19223,19079,19065,19054,18994,18918,18833,18653,18608
" "," ","Varde",25210,25324,25513,25462,25453,25387,25305,25324,25444,25538,25681,25586,25445,25335,25174,25192
" "," ","Vejen",21243,21518,21662,21626,21605,21640,21638,21678,21688,21850,21868,21893,21908,21813,21818,21698
" "," ","Vejle",51565,52152,52613,52949,53351,53787,54170,54585,55095,55836,56670,57097,57482,57912,58636,59718
" "," ","Aabenraa",29861,29992,30107,29913,29795,29704,29536,29386,29388,29376,29465,29491,29463,29307,29191,29292
" "," ","Favrskov",22672,22982,23308,23457,23659,23685,23706,23745,23960,24099,24236,24346,24424,24421,24372,24638
" "," ","Hedensted",22722,23064,23302,23255,23315,23308,23222,23229,23427,23526,23696,23718,23830,23821,23866,24075
" "," ","Horsens",39473,40056,40914,41007,41462,41925,42654,43032,43467,44209,44974,45216,45680,45819,46400,47586
" "," ","Norddjurs",19265,19411,19321,19221,19191,19137,19306,19349,19362,19563,19546,19619,19307,19002,18925,18860
" "," ","Odder",10614,10665,10688,10771,10861,10782,10785,10769,10881,10987,11082,11255,11195,11256,11298,11470
" "," ","Randers",46121,46463,46777,47100,47409,47704,47835,47982,48213,48652,49065,49121,48968,48934,49091,49524
